2014 OSAP Repayment Assistance Participation Rates ,,,,
Other Private and Public Institutions in Ontario,,, ,
Institution Name,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
,,,,
CAMPUS D'ALFRED - UNIVERSITY OF GUELPH,*,*,*,
CANADA CHRISTIAN COLLEGE,18,7,38.9%,
CANADIAN COLLEGE OF NATUROPATHIC MEDICINE,69,42,60.9%,
CANADIAN MEMORIAL CHIROPRACTIC COLLEGE,132,67,50.8%,
CHARLES STURT UNIVERSITY-BURLINGTON,69,25,36.2%,
EASTERN ONTARIO SCH OF XRAY TECH,6,1,16.7%,
EMMANUEL BIBLE COLLEGE,16,6,37.5%,
HERITAGE BAPTIST COLLEGE/HER.THEO.SEMIN.,25,6,24.0%,
KAWARTHA LAKES BIBLE COLLEGE,*,*,*,
KEMPTVILLE CAMPUS - UNIVERSITY OF GUELPH,68,11,16.2%,
MASTER'S COLLEGE & SEMINARY,18,4,22.2%,
MICHENER INSTITUTE FOR APPLIED HEALTH SCIENCE,111,20,18.0%,
NIAGARA PARKS SCHOOL OF HORTICULTURE,*,*,*,
REDEEMER UNIVERSITY COLLEGE,160,43,26.9%,
RIDGETOWN CAMPUS - UNIVERSITY OF GUELPH,125,25,20.0%,
TYNDALE UNIVERSITY COLLEGE & SEMINARY,150,65,43.3%,
Other Private and Publicly Funded Institutions in Ontario Total,978,325,33.2%,
,,,,
Notes:, ,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2011-12 and did not receive loans or grants ,,,,
through the Ontario Student Assistance Program in 2012-13. ,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,
 Canada-Ontario Integrated Student Loan between March 2012 and July 2014. ,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,
* Number of borrowers is less than 5; data suppressed but included in the totals for the institutions. ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
