"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"108788","2003/2004","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",396619
"108789","2004/2005","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",422889
"108790","2005/2006","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",443437
"108791","2006/2007","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",462939
"108792","2007/2008","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",479813
"108793","2008/2009","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",509004
"108794","2009/2010","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",530116
"108795","2010/2011","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",537273
"108796","2011/2012","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",567057
"108797","2012/2013","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",593536
"108798","2013/2014","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",625357
"108799","2014/2015","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",623150
"108800","2015/2016","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",635127
"124033","2000/2001","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",597067
"124034","2001/2002","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",686584
"124035","2002/2003","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",779375
"124036","2003/2004","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",797283
"124037","2004/2005","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",781972
"124038","2005/2006","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",797077
"124039","2006/2007","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",884790
"124040","2007/2008","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",906518
"124041","2008/2009","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1005720
"124042","2009/2010","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1089419
"124043","2010/2011","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1202776
"124044","2011/2012","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1247610
"124045","2012/2013","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1196480
"124046","2013/2014","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1229389
"124047","2014/2015","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1281705
"124048","2015/2016","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1331850
"124289","2000/2001","Saskatchewan","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",358604
"124290","2001/2002","Saskatchewan","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",376008
"124291","2002/2003","Saskatchewan","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",406203
"124292","2003/2004","Saskatchewan","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",431861
"124293","2004/2005","Saskatchewan","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",462978
